task_id,sampling,checkpoint,test_overall_pearson,gretz_pearson,gretz_spearman,swanson_pearson,swanson_spearman,toledo_pearson,toledo_spearman,ukp_pearson,ukp_spearman,webis_pearson,webis_spearman,test_loss
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--19-26-14/checkpoints,0.4013,0.3822,0.3459,0.5667,0.5342,0.3951,0.4435,0.3987,0.2963,0.6687,0.7251,0.0627
STLAS_only_webis,balanced,experiments/version_20-03-2022--19-38-05/checkpoints,0.0947,0.1625,0.1487,0.3935,0.5346,0.3637,0.3494,0.4019,0.508,0.7229,0.798,0.2879
STLAS_only_webis,balanced,experiments/version_20-03-2022--19-52-33/checkpoints,0.0662,0.1685,0.1989,0.3817,0.3688,0.2295,0.1861,0.4129,0.5173,0.8055,0.8385,0.2548
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--19-45-43/checkpoints,0.5355,0.2556,0.2623,0.6405,0.5727,0.3858,0.3861,0.3797,0.2778,0.5513,0.6482,0.0431
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-09-50/checkpoints,0.246,0.2651,0.2658,0.0964,0.2118,0.2694,0.2471,0.3761,0.504,0.7467,0.8031,0.1674
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--20-10-42/checkpoints,0.4754,0.2799,0.2315,0.6994,0.5963,0.2183,0.1983,0.3701,0.3651,0.6362,0.6391,0.0478
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-24-06/checkpoints,0.223,0.2172,0.224,0.3295,0.4129,0.3907,0.3833,0.4111,0.5109,0.7341,0.8051,0.2266
MTLAS_LOO_webis,balanced,experiments/version_20-03-2022--20-28-49/checkpoints,0.5843,0.4079,0.3933,0.5119,0.4686,0.361,0.4257,0.5426,0.3471,0.0305,,
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-38-06/checkpoints,0.1775,0.2435,0.2706,0.4301,0.4492,0.2477,0.2085,0.4268,0.5099,0.8209,0.8517,0.1975
MTLAS_LOO_webis,balanced,experiments/version_20-03-2022--20-41-28/checkpoints,0.6057,0.3666,0.369,0.5686,0.5416,0.5242,0.5305,0.5611,0.405,0.0292,,
MTLAS_LOO_webis,balanced,experiments/version_20-03-2022--21-00-36/checkpoints,0.5574,0.4251,0.4072,0.5125,0.3943,0.3855,0.3789,0.574,0.4234,0.0291,,
MTLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--21-20-45/checkpoints,0.5738,0.3658,0.3786,0.5103,0.4315,0.4377,0.4982,0.4996,0.2559,0.0307,,
MTLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--21-34-42/checkpoints,0.6043,0.3379,0.3363,0.6278,0.6207,0.5142,0.4942,0.5364,0.3374,0.0293,,
MTLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--21-55-40/checkpoints,0.5369,0.3828,0.3585,0.5296,0.3802,0.3562,0.3323,0.5269,0.3961,0.03,,
STLAS_only_swanson_topic,balanced,experiments/version_20-03-2022--22-14-42/checkpoints,0.2518,0.1301,0.1021,0.5018,0.3974,-0.0769,-0.0887,0.4781,0.3901,0.3721,0.4281,0.0584
STLAS_only_swanson_topic,balanced,experiments/version_20-03-2022--22-18-30/checkpoints,0.2413,0.1568,0.1733,0.6078,0.5666,0.2135,0.0564,0.4395,0.5095,0.1456,0.1329,0.0671
STLAS_only_swanson_topic,balanced,experiments/version_20-03-2022--22-22-05/checkpoints,0.2264,0.0926,0.0522,0.6123,0.4678,0.2565,0.152,0.4965,0.4461,0.2967,0.3479,0.0553
STLAS_only_gretz,balanced,experiments/version_20-03-2022--22-28-51/checkpoints,0.2699,0.4202,0.4091,0.3202,0.3223,0.2988,0.3222,0.4085,0.5896,0.1768,0.1652,0.0641
STLAS_only_gretz,balanced,experiments/version_20-03-2022--22-31-58/checkpoints,0.224,0.3313,0.3454,0.2071,0.184,0.4457,0.4541,0.3632,0.5347,0.0861,0.1184,0.0553
STLAS_only_gretz,balanced,experiments/version_20-03-2022--22-35-20/checkpoints,0.2246,0.3813,0.3679,0.4888,0.4975,0.3439,0.3112,0.3776,0.5709,0.1732,0.1644,0.0591
STLAS_only_gretz_topic,balanced,experiments/version_20-03-2022--22-38-59/checkpoints,0.2558,0.3823,0.4284,0.2851,0.3527,0.2104,0.2848,0.3591,0.539,0.2445,0.2105,0.0646
STLAS_only_gretz_topic,balanced,experiments/version_20-03-2022--22-42-49/checkpoints,0.2525,0.3241,0.3526,0.3338,0.2902,0.2459,0.2659,0.3493,0.5348,0.1092,0.1151,0.0541
STLAS_only_gretz_topic,balanced,experiments/version_20-03-2022--22-47-13/checkpoints,0.2415,0.3702,0.3355,0.4496,0.3967,0.3291,0.2657,0.4203,0.5606,0.1466,0.0965,0.0579
STLAS_only_swanson,balanced,experiments/version_22-03-2022--21-05-51/checkpoints,0.3007,0.2601,0.1713,0.4676,0.4162,0.1389,0.1164,0.5504,0.4714,0.3973,0.4397,0.0592
STLAS_only_swanson,balanced,experiments/version_22-03-2022--21-10-27/checkpoints,0.3088,0.2597,0.2047,0.544,0.484,0.4045,0.2379,0.5163,0.486,0.2969,0.3858,0.0584
STLAS_only_swanson,balanced,experiments/version_22-03-2022--21-14-58/checkpoints,0.2661,0.2034,0.1086,0.5646,0.4579,0.2701,0.1788,0.579,0.4876,0.4382,0.4802,0.056
STLAS_LOO_swanson,balanced,experiments/version_22-03-2022--21-22-00/checkpoints,0.5127,0.206,0.1643,0.312,0.3031,0.1766,0.1484,0.2809,0.1378,0.5798,0.6042,0.0486
STLAS_LOO_swanson,balanced,experiments/version_22-03-2022--22-18-37/checkpoints,0.4118,0.1013,0.0981,0.2765,0.3292,0.0719,0.0714,0.3659,0.1703,0.5281,0.5627,0.0528
STLAS_LOO_swanson,balanced,experiments/version_22-03-2022--23-16-01/checkpoints,0.4912,0.1874,0.1167,0.3124,0.3187,0.101,0.0611,0.3514,0.1454,0.5742,0.5496,0.0462
